# key	english	spanish	placeholders (name:type,...)
appTitle	QualiTrack Mobile	QualiTrack Mobile
loading	Loading…	Cargando…
refresh	Refresh	Actualizar
refreshing	Refreshing…	Actualizando…
retry	Retry	Reintentar
cancel	Cancel	Cancelar
search	Search	Buscar
yes	Yes	Sí
no	No	No
unknown	Unknown	Desconocido
noInformation	No information available	Sin información disponible
noResults	No results match the current filters	No hay resultados para los filtros actuales
filterAll	All	Todos
clearFilters	Clear filters	Limpiar filtros
previous	Previous	Anterior
next	Next	Siguiente
pageOf	Page {page} of {total}	Página {page} de {total}	page:int,total:int
total	Total	Total
status	Status	Estado
code	Code	Código
name	Name	Nombre
description	Description	Descripción
type	Type	Tipo
model	Model	Modelo
unit	Unit	Unidad
quantity	Quantity	Cantidad
timestamp	Timestamp	Fecha y hora
parameter	Parameter	Parámetro
active	Active	Activo
inactive	Inactive	Inactivo
normal	Normal	Normal
startDate	Start date	Fecha de inicio
endDate	End date	Fecha de fin
generalInformation	General information	Información general
updatedAt	Updated at {time}	Actualizado a las {time}	time:String
calculatedAt	Calculated: {date}	Calculado: {date}	date:String
errorTitle	Something went wrong	Algo salió mal
errorNetwork	No connection to QualiTrack. Check your internet connection or the API address.	Sin conexión con QualiTrack. Verifica tu conexión a internet o la dirección de la API.
errorTimeout	The server took too long to respond. Try again.	El servidor tardó demasiado en responder. Inténtalo de nuevo.
errorBadRequest	The request was rejected by QualiTrack.	QualiTrack rechazó la solicitud.
errorCredentialsRequired	Enter your username and password.	Ingresa tu usuario y contraseña.
errorUnauthorized	Your session is no longer valid. Sign in again.	Tu sesión ya no es válida. Inicia sesión nuevamente.
errorForbidden	You do not have access to this information.	No tienes acceso a esta información.
errorOnboarding	Your account setup is incomplete. Complete it in QualiTrack Web.	La configuración de tu cuenta está incompleta. Complétala en QualiTrack Web.
errorNotFound	The requested information was not found.	No se encontró la información solicitada.
errorConflict	The operation conflicts with the current state.	La operación entra en conflicto con el estado actual.
errorServer	QualiTrack is not available right now. Try again later.	QualiTrack no está disponible en este momento. Inténtalo más tarde.
errorParsing	The server response could not be read.	No se pudo interpretar la respuesta del servidor.
errorMissingLaboratory	Your account has no laboratory assigned. Complete the setup in QualiTrack Web.	Tu cuenta no tiene un laboratorio asignado. Completa la configuración en QualiTrack Web.
errorUnexpected	An unexpected error occurred.	Ocurrió un error inesperado.
checkingSession	Checking session	Verificando sesión
signInTitle	Sign In	Iniciar sesión
signInSubtitle	Welcome back to QualiTrack.	Bienvenido de nuevo a QualiTrack.
username	Username	Usuario
usernameHint	name@company.com	nombre@empresa.com
usernameRequired	Username is required	El usuario es obligatorio
password	Password	Contraseña
passwordHint	Your password	Tu contraseña
passwordRequired	Password is required	La contraseña es obligatoria
showPassword	Show password	Mostrar contraseña
hidePassword	Hide password	Ocultar contraseña
signIn	Sign In	Iniciar sesión
signingIn	Signing in	Iniciando sesión
invalidCredentials	Invalid username or password.	Usuario o contraseña incorrectos.
sessionExpired	Your session has expired. Please sign in again.	Tu sesión expiró. Inicia sesión nuevamente.
accountsManagedOnWeb	Accounts are created and managed in QualiTrack Web.	Las cuentas se crean y administran en QualiTrack Web.
signOut	Sign out	Cerrar sesión
signOutConfirm	Do you want to sign out of QualiTrack?	¿Deseas cerrar sesión en QualiTrack?
setupRequiredTitle	Complete your setup in QualiTrack Web	Completa tu configuración en QualiTrack Web
setupSubscriptionMissing	Your laboratory does not have an active subscription yet.	Tu laboratorio aún no tiene una suscripción activa.
setupLaboratoryMissing	Your account is not linked to a laboratory yet.	Tu cuenta aún no está vinculada a un laboratorio.
setupGeneric	Your account setup is not complete.	La configuración de tu cuenta no está completa.
setupRequiredHint	Subscriptions, laboratories and users are configured from the web application. Come back once it is done.	Las suscripciones, laboratorios y usuarios se configuran desde la aplicación web. Vuelve cuando esté listo.
checkAgain	Check again	Verificar de nuevo
roleAdmin	Administrator	Administrador
roleQaManager	QA Manager	QA Manager
roleLabOperator	Lab Operator	Operador de laboratorio
navHome	Home	Inicio
navTelemetry	Telemetry	Telemetría
navAlerts	Alerts	Alertas
navBatches	Batches	Lotes
navMore	More	Más
more	More	Más
profile	Profile	Perfil
about	About	Acerca de
versionLabel	Version {version}	Versión {version}	version:String
aboutDescription	QualiTrack Mobile is the monitoring and review companion of the QualiTrack pharmaceutical quality management platform: telemetry, deviation alerts, production batches, inventory and billing at a glance.	QualiTrack Mobile es la app de monitoreo y revisión de la plataforma de gestión de calidad farmacéutica QualiTrack: telemetría, alertas de desviación, lotes de producción, inventario y facturación de un vistazo.
aboutWebScope	Configuration and data registration (laboratories, products, materials, equipment, sensors, limits, batches, users and subscriptions) are performed in QualiTrack Web.	La configuración y el registro de datos (laboratorios, productos, materiales, equipos, sensores, límites, lotes, usuarios y suscripciones) se realizan en QualiTrack Web.
laboratory	Laboratory	Laboratorio
laboratoryNumber	Laboratory {id}	Laboratorio {id}	id:String
ruc	RUC	RUC
phone	Phone	Teléfono
address	Address	Dirección
regulations	Applicable regulations	Normativas aplicables
commandCenterTitle	Command Center	Centro de Comando
commandCenterSubtitle	Operational overview across laboratory, equipment, batches, reports and telemetry.	Vista operativa del laboratorio, equipos, lotes, reportes y telemetría.
welcomeUser	Hello, {name}	Hola, {name}	name:String
keyOperationalMetrics	Key operational metrics	Métricas operativas clave
openAlerts	Open alerts	Alertas abiertas
rawMaterials	Raw materials	Materias primas
operationalCount	{count} operational	{count} operativos	count:int
pendingInProgress	{pending} pending · {inProgress} in progress	{pending} pendientes · {inProgress} en progreso	pending:int,inProgress:int
criticalCount	{count} critical	{count} críticas	count:int
lowStockCount	{count} low stock	{count} con stock bajo	count:int
criticalAlertsCount	{count} critical alerts open	{count} alertas críticas abiertas	count:int
noCriticalAlerts	No critical alerts open	Sin alertas críticas abiertas
liveTelemetry	Live telemetry	Telemetría en vivo
liveTelemetryHint	Latest equipment monitoring signal	Última señal de monitoreo de equipos
onlineOfTotal	{online} of {total} equipment online	{online} de {total} equipos en línea	online:int,total:int
onlineDevices	Online	En línea
telemetryAttention	Telemetry warnings	Alertas de telemetría
withoutStatus	No status	Sin estado
riskOverview	Risk overview	Resumen de riesgos
riskOverviewHint	Items that may require operational attention	Elementos que pueden requerir atención operativa
lowStock	Low stock	Stock bajo
kpisAtRisk	KPIs at risk	KPIs en riesgo
itemsCount	{count} items	{count} elementos	count:int
overallHealth	Overall health	Salud general
equipmentTitle	Equipment	Equipos
equipmentDetail	Equipment detail	Detalle del equipo
equipmentEmpty	No equipment has been registered in QualiTrack Web yet.	Aún no se han registrado equipos en QualiTrack Web.
equipmentSummary	{total} registered · {attention} need attention	{total} registrados · {attention} requieren atención	total:int,attention:int
searchEquipment	Search by name, model or serial	Buscar por nombre, modelo o serie
